Saran,Label
cara mengajar kurang interaktif,Guru
cara mengajar terlalu text book,Guru
"papan tulis sudah burik, tolong untuk diganti",Prasarana
"kipas sudah tidak berjalan semestinya, yang menjadikan ruang kelas menjadi panas, tolong untuk diganti yang baru",Prasarana
perlu tambahan ekstrakulikuler graphic designer,Kesiswaan
minat siswa baru untuk mengikuti pramuka berkurang tolong untuk dijadikan ekstrakurikuler wajib,Kesiswaan
"peserta didik baru diwajibkan untuk mengikuti minimal satu ekstrakurikuler, untuk mengembangkan bakatnya",Kesiswaan
"banyak peserta didik kurang sopan dalam bertingkah laku, baik kepada guru maupun temannya. alangkah lebih baiknya guru juga memberikan pelajaran budi pekerti lebih dalam.",Guru
"alat peraga untuk pelajaran fisika kurang, sehingga siswa sulit memahami materi",Guru
guru tidak memberikan kesempatan kepada siswa untuk bertanya di kelas,Guru
ruang laboratorium komputer perlu ditingkatkan fasilitasnya,Prasarana
"proyektor di ruang kelas sering bermasalah, mohon diganti atau diperbaiki",Prasarana
"sarana olahraga di sekolah terbatas, mohon ditambah",Prasarana
perlu adanya kegiatan ekstrakurikuler coding untuk siswa yang berminat di bidang IT,Kesiswaan
ekstrakurikuler musik sebaiknya lebih sering diadakan latihan,Kesiswaan
ekstrakurikuler bahasa asing seperti Jepang atau Prancis bisa menambah minat siswa,Kesiswaan
perlu adanya pembinaan sikap disiplin yang lebih ketat,Kesiswaan
lingkungan sekolah perlu ditata lebih hijau agar lebih nyaman,Prasarana
penggunaan internet di sekolah perlu diawasi dengan lebih ketat,Prasarana
perlu adanya pelatihan untuk guru dalam penggunaan teknologi di kelas,Guru
metode pengajaran yang lebih interaktif akan membantu siswa dalam memahami materi,Guru
siswa membutuhkan lebih banyak bimbingan dalam memilih jalur karir,Kesiswaan
sekolah sebaiknya menyediakan lebih banyak buku referensi di perpustakaan,Prasarana
"guru sering terlambat datang ke kelas, hal ini mengurangi waktu belajar",Guru
perlu adanya kegiatan yang memotivasi siswa untuk belajar lebih giat,Kesiswaan
ruang kelas perlu diperbaiki karena beberapa meja dan kursi sudah rusak,Prasarana
perlu ditingkatkan lagi pengawasan saat ujian untuk mencegah kecurangan,Guru
"sarana kebersihan di sekolah perlu ditingkatkan, seperti tempat sampah di setiap sudut",Prasarana
pengajaran matematika perlu disertai lebih banyak latihan soal,Guru
siswa perlu lebih banyak mendapatkan pembelajaran tentang kewirausahaan,Kesiswaan
perpustakaan perlu diperbaharui dengan buku-buku terbaru,Prasarana
perlu adanya program pertukaran pelajar dengan sekolah lain,Kesiswaan
"jadwal belajar yang terlalu padat membuat siswa lelah, perlu adanya evaluasi",Kesiswaan
kurangnya bimbingan konseling untuk siswa yang memiliki masalah pribadi,Kesiswaan
"papan tulis yang digunakan sering kali tidak jelas, mohon diganti dengan yang baru",Prasarana
pelajaran seni rupa perlu diberikan lebih banyak waktu di kurikulum,Guru
ekstrakurikuler olahraga sebaiknya diberikan fasilitas yang memadai,Prasarana
sekolah sebaiknya mengadakan seminar tentang kesehatan mental untuk siswa,Kesiswaan
perlu adanya sistem penghargaan untuk siswa yang berprestasi,Kesiswaan
ruang kelas perlu diberi AC karena cuaca sering kali panas,Prasarana
guru sebaiknya memberikan lebih banyak umpan balik atas tugas yang diberikan,Guru
perlu adanya lebih banyak kegiatan diskusi di kelas agar siswa lebih aktif,Guru
pembangunan gedung baru sebaiknya diprioritaskan agar siswa tidak belajar di ruang sementara,Prasarana
sekolah perlu menyediakan sarana belajar online yang lebih baik,Prasarana
pendidikan karakter perlu diperkuat di sekolah,Guru
fasilitas laboratorium kimia perlu diperbaiki agar lebih aman digunakan,Prasarana
perlu adanya kegiatan mentoring antara siswa baru dan siswa senior,Kesiswaan
ekstrakurikuler robotik bisa menjadi tambahan yang menarik untuk siswa,Kesiswaan
